Greenland_temperature_(ºC),Upper_band,Lower_band,"Age_(B.P.,_radio-carbon_calibrated)","NH_temperature_anomaly_(ºC,_full)","NH_temperature_anomaly_(ºC,_no_volc)",VII_(ºC),"Age_(B.P.,_radio-carbon_calibrated).1",Volcanic_forcing_(W/m2),Greenland temperature (ºC)_scaled,"NH temperature anomaly (ºC, full)_scaled","NH_temperature_anomaly_(ºC,_no_volc)_scaled",Co2(ppm),Co2(ppm)_scaled
-30.54,-30.3374159,-30.7425841,-43,0.55813386,0.668940243,-0.110806383,-43,-0.294359483,0.71238485,1,1,255.338352,0.632227173
-30.61,-30.45944426,-30.76055574,-42,0.55813386,0.668940243,-0.110806383,-42,-0.800152032,0.706633565,1,1,254.9878881,0.629205931
-30.72,-30.58377169,-30.85622831,-41,0.55813386,0.668940243,-0.110806383,-41,-2.175038729,0.69759583,1,1,254.4278279,0.624377827
-30.85,-30.72578551,-30.97421449,-40,0.55813386,0.668940243,-0.110806383,-40,0,0.686914872,1,1,253.7627496,0.618644393
-31.02,-30.87678444,-31.16321556,-39,0.55813386,0.668940243,-0.110806383,-39,0,0.672947464,1,1,252.8880844,0.611104176
-31.16,-30.99715476,-31.32284524,-38,0.55813386,0.668940243,-0.110806383,-38,0,0.661444893,1,1,252.1698439,0.604912447
-31.32,-31.15187524,-31.48812476,-37,0.540304365,0.658152953,-0.117848587,-37,0,0.648299097,0.991625341,0.992602304,253.165196,0.613493069
-31.47,-31.32211538,-31.61788462,-36,0.523249537,0.646432042,-0.123182505,-36,0,0.635974914,0.983614549,0.984564351,251.5167657,0.599282463
-31.58,-31.42366329,-31.73633671,-35,0.502037552,0.630289132,-0.12825158,-35,0,0.62693718,0.973651106,0.973493884,249.6184207,0.58291742
-31.68,-31.47551936,-31.88448064,-34,0.489457593,0.616936094,-0.127478501,-34,0,0.618721058,0.967742197,0.964336651,248.5612393,0.573803787
-31.73,-31.524692,-31.935308,-33,0.482556936,0.60626195,-0.123705013,-33,0,0.614612996,0.964500902,0.957016548,248.494403,0.573227612
-31.78,-31.57057229,-31.98942771,-32,0.475235325,0.602441008,-0.127205683,-32,-0.001689526,0.610504935,0.961061881,0.954396227,248.9566479,0.577212482
-31.8,-31.58662778,-32.01337222,-31,0.461498593,0.584498255,-0.122999662,-31,-0.004592607,0.608861711,0.954609626,0.942091466,248.3492665,0.571976435
-31.84,-31.6358006,-32.0441994,-30,0.455278644,0.578867512,-0.123588869,-30,-0.012483998,0.605575262,0.951688065,0.938230021,248.8389475,0.576197823
-31.86,-31.62579074,-32.09420926,-29,0.453920708,0.56654529,-0.112624582,-29,-0.033935025,0.603932038,0.951050232,0.929779701,249.307951,0.580240957
-31.83,-31.58948798,-32.07051202,-28,0.443102424,0.559313605,-0.116211181,-28,-0.092244964,0.606396874,0.945968795,0.924820364,249.7433864,0.58399471
-31.82,-31.57888563,-32.06111437,-27,0.424308521,0.548391332,-0.124082811,-27,-0.250747809,0.607218487,0.937141146,0.917330099,249.3522761,0.58062307
-31.76,-31.52586367,-31.99413633,-26,0.404270179,0.542444903,-0.138174724,-26,-0.681603213,0.61214816,0.927728973,0.913252163,249.4650249,0.581595042
-31.71,-31.51144976,-31.90855024,-25,0.386542929,0.538111853,-0.151568925,-25,0,0.616256221,0.919402339,0.910280649,249.7481614,0.584035874
-31.7,-31.46772574,-31.93227426,-24,0.370233946,0.52688573,-0.156651784,-24,0,0.617077833,0.911741876,0.902582011,249.4066071,0.58109144
-31.63,-31.37936233,-31.88063767,-23,0.355291298,0.512045879,-0.156754581,-23,0,0.622829119,0.904723192,0.892405153,249.2655261,0.579875225
-31.58,-31.35625629,-31.80374371,-22,0.331718087,0.506859149,-0.175141062,-22,0,0.62693718,0.893650663,0.888848204,249.0745607,0.578228972
-31.52,-31.19770459,-31.84229541,-21,0.315366173,0.503662578,-0.188296405,-21,0,0.631866853,0.885970035,0.886656063,249.5568927,0.582387006
-31.48,-31.18703963,-31.77296037,-20,0.307153838,0.497852078,-0.190698241,-20,0,0.635153302,0.882112634,0.882671344,250.1922261,0.587864018
-31.38,-31.02983042,-31.73016958,-19,0.301491157,0.483382034,-0.181890877,-19,-0.00272611,0.643369424,0.879452827,0.872748093,250.7413138,0.592597533
-31.36,-31.11010424,-31.60989576,-18,0.302259673,0.469621946,-0.167362273,-18,-0.007410337,0.645012649,0.879813805,0.863311715,251.2423086,0.596916454
-31.29,-31.00490191,-31.57509809,-17,0.289571092,0.465805633,-0.17623454,-17,-0.020143385,0.650763934,0.873853875,0.860694568,251.7415501,0.601220259
-31.2,-30.95271777,-31.44728223,-16,0.280984533,0.454755438,-0.173770905,-16,-0.054755395,0.658158444,0.869820698,0.853116577,252.0607274,0.603971788
-31.17,-30.86235124,-31.47764876,-15,0.279004122,0.442029153,-0.163025031,-15,-0.148840597,0.660623281,0.868890483,0.84438916,252.321484,0.606219689
